target,Year,number,IF,PF,IF_proportion
bipolar,2010,singular,2.5337092741344644e-09,8.940062087451191e-09,0.22082619517915078
bipolar,2011,plural,3.2854517995062334e-09,4.2765358746318534e-08,0.07134406019274966
bipolar,2011,singular,2.6841638118518016e-09,8.650739172618875e-09,0.23680518620487764
bipolar,2012,plural,3.326253066633049e-09,4.2598331972953936e-08,0.0724285927410301
bipolar,2012,singular,2.719206669356465e-09,8.073932316372229e-09,0.25193844654015446
bipolar,2013,plural,2.3213453223139678e-09,3.5221755417020565e-08,0.06183147573321922
bipolar,2013,singular,2.4514743885666643e-09,6.5691166791940046e-09,0.27176427466357084
bipolar,2014,plural,2.166765227557781e-09,3.3235077674070064e-08,0.06120487098874022
bipolar,2014,singular,2.330599903542309e-09,6.0591072476816925e-09,0.27779275981072715
bipolar,2015,plural,2.0319315912382355e-09,3.208306103325802e-08,0.05956124961255913
bipolar,2015,singular,2.118815408839022e-09,5.472269811893479e-09,0.2791189068793733
bipolar,2016,plural,2.0804467831021204e-09,3.284711677257032e-08,0.05956461233793227
bipolar,2016,singular,1.9086067646968884e-09,5.180711034772198e-09,0.26922290954988964
bipolar,2017,plural,2.136176161885809e-09,3.3760353623790706e-08,0.059509266623822485
bipolar,2017,singular,1.9857137785924315e-09,5.122353948413168e-09,0.2793605596986833
bipolar,2018,plural,1.9399121420349274e-09,3.3948074573686426e-08,0.05405463832233073
bipolar,2018,singular,1.7346642344762131e-09,5.308407846627006e-09,0.24629369322094136
bipolar,2019,plural,1.8564829118439263e-09,3.2632450075453796e-08,0.05382836611755049
bipolar,2019,singular,1.6265671032300586e-09,5.271176162224833e-09,0.2358114879943694
bulimic,1980,plural,7.454601420280633e-12,8.736859648448914e-11,0.07861579850710407
bulimic,1980,singular,1.1437194891558303e-10,4.0476541761171237e-11,0.7386055131420951
bulimic,1981,plural,7.454601420280633e-12,2.5522416719730197e-10,0.028379154735315954
bulimic,1981,singular,2.159776330993132e-10,1.0151493039036095e-10,0.6802604468130715
bulimic,1982,plural,7.454601420280633e-12,3.4416210357792107e-10,0.02120093077010877
bulimic,1982,singular,3.1465952115719963e-10,1.5339539460074948e-10,0.6722705190429477
bulimic,1983,plural,5.6731866228597125e-11,5.366272585024693e-10,0.09561134878360594
bulimic,1983,singular,5.322828428022675e-10,2.7183548566884445e-10,0.6619459151171305
bulimic,1984,plural,7.07156000423481e-11,6.836391215030751e-10,0.09374316620896232
bulimic,1984,singular,6.371608459097645e-10,3.89444979241395e-10,0.6206479939035487
bulimic,1985,plural,9.136315910167929e-11,7.849161717413518e-10,0.10426259742288191
bulimic,1985,singular,7.497674405935026e-10,4.2191193891768654e-10,0.6399083688801426
bulimic,1986,plural,9.136315910167929e-11,8.974850307374992e-10,0.09239351403023568
